year,state_abbr,state_fips,state_name,fatal_shootings,population,fatal_shootings_per_100k,fatal_shootings_per_1m,unarmed_count,unarmed_per_1m,armed_with_gun_count,armed_with_gun_per_1m,mental_illness_related_count,mental_illness_related_per_1m,body_camera_count,body_camera_per_1m,race_known_count,race_missing_count,population_source_vintage,population_source_url
2016,MI,26,Michigan,12,9950571,0.1206,1.206,0,0.0,8,0.804,4,0.402,3,0.3015,12,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MN,27,Minnesota,14,5522744,0.2535,2.535,1,0.1811,8,1.4486,6,1.0864,4,0.7243,14,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MO,29,Missouri,21,6087135,0.345,3.4499,0,0.0,14,2.2999,2,0.3286,0,0.0,19,2,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MS,28,Mississippi,8,2987938,0.2677,2.6774,2,0.6694,5,1.6734,1,0.3347,0,0.0,8,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MT,30,Montana,5,1040859,0.4804,4.8037,0,0.0,3,2.8822,1,0.9607,1,0.9607,5,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NC,37,North Carolina,32,10154788,0.3151,3.1512,2,0.197,24,2.3634,9,0.8863,7,0.6893,31,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,ND,38,North Dakota,1,754434,0.1325,1.3255,1,1.3255,0,0.0,0,0.0,0,0.0,1,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NE,31,Nebraska,7,1905616,0.3673,3.6734,1,0.5248,2,1.0495,2,1.0495,1,0.5248,7,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NH,33,New Hampshire,2,1342307,0.149,1.49,0,0.0,1,0.745,2,1.49,0,0.0,2,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NJ,34,New Jersey,12,8870827,0.1353,1.3527,0,0.0,7,0.7891,1,0.1127,1,0.1127,11,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NM,35,New Mexico,21,2091630,1.004,10.04,0,0.0,18,8.6057,6,2.8686,6,2.8686,20,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NV,32,Nevada,13,2917563,0.4456,4.4558,1,0.3428,7,2.3993,2,0.6855,2,0.6855,13,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,NY,36,New York,17,19633428,0.0866,0.8659,0,0.0,10,0.5093,10,0.5093,0,0.0,17,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,OH,39,Ohio,26,11634370,0.2235,2.2348,1,0.086,10,0.8595,6,0.5157,0,0.0,26,0,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,OK,40,Oklahoma,26,3926331,0.6622,6.622,3,0.7641,14,3.5657,8,2.0375,5,1.2735,23,3,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,OR,41,Oregon,15,4089976,0.3668,3.6675,1,0.2445,7,1.7115,5,1.2225,1,0.2445,14,1,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
