state_abbr,state_name,region,observed,expected_region_year_model,avg_population,residual_obs_minus_expected,standardized_residual,observed_rate_per_1m,expected_rate_per_1m
AL,Louisiana,West,0,0.0,,0.0,,,
AL,Louisiana,South,0,0.0,,0.0,,,
AL,Louisiana,Midwest,0,0.0,,0.0,,,
AL,Louisiana,Northeast,0,0.0,,0.0,,,
AL,Maine,West,0,0.0,,0.0,,,
AL,Maine,South,0,0.0,,0.0,,,
AL,Maine,Midwest,0,0.0,,0.0,,,
AL,Maine,Northeast,0,0.0,,0.0,,,
AL,Maryland,West,0,0.0,,0.0,,,
AL,Maryland,South,0,0.0,,0.0,,,
AL,Maryland,Midwest,0,0.0,,0.0,,,
AL,Maryland,Northeast,0,0.0,,0.0,,,
AL,Massachusetts,West,0,0.0,,0.0,,,
AL,Massachusetts,South,0,0.0,,0.0,,,
AL,Massachusetts,Midwest,0,0.0,,0.0,,,
AL,Massachusetts,Northeast,0,0.0,,0.0,,,
AL,Michigan,West,0,0.0,,0.0,,,
AL,Michigan,South,0,0.0,,0.0,,,
AL,Michigan,Midwest,0,0.0,,0.0,,,
AL,Michigan,Northeast,0,0.0,,0.0,,,
AL,Minnesota,West,0,0.0,,0.0,,,
AL,Minnesota,South,0,0.0,,0.0,,,
AL,Minnesota,Midwest,0,0.0,,0.0,,,
AL,Minnesota,Northeast,0,0.0,,0.0,,,
AL,Mississippi,West,0,0.0,,0.0,,,
AL,Mississippi,South,0,0.0,,0.0,,,
AL,Mississippi,Midwest,0,0.0,,0.0,,,
AL,Mississippi,Northeast,0,0.0,,0.0,,,
AL,Missouri,West,0,0.0,,0.0,,,
AL,Missouri,South,0,0.0,,0.0,,,
AL,Missouri,Midwest,0,0.0,,0.0,,,
AL,Missouri,Northeast,0,0.0,,0.0,,,
AL,Montana,West,0,0.0,,0.0,,,
AL,Montana,South,0,0.0,,0.0,,,
AL,Montana,Midwest,0,0.0,,0.0,,,
AL,Montana,Northeast,0,0.0,,0.0,,,
AL,Nebraska,West,0,0.0,,0.0,,,
AL,Nebraska,South,0,0.0,,0.0,,,
AL,Nebraska,Midwest,0,0.0,,0.0,,,
AL,Nebraska,Northeast,0,0.0,,0.0,,,
AL,Nevada,West,0,0.0,,0.0,,,
AL,Nevada,South,0,0.0,,0.0,,,
AL,Nevada,Midwest,0,0.0,,0.0,,,
AL,Nevada,Northeast,0,0.0,,0.0,,,
AL,New Hampshire,West,0,0.0,,0.0,,,
AL,New Hampshire,South,0,0.0,,0.0,,,
