state_abbr,state_name,region,is_nm,fatal_shootings,avg_population,annualized_rate_per_1m,avg_density,avg_log_density,unarmed_count,gun_count,mental_count,bodycam_count,race_missing_count,unique_agencies_with_shootings_total,unique_agencies_per_1m_mean,sheriff_share_mean,local_police_share_mean,top_city_share,top_city,top_county_share,top_county,city_hhi,county_hhi,gun_share,unarmed_share,mental_illness_share,bodycam_share,race_missing_share
MS,Mississippi,South,0,139,2966195.5,4.690939999999999,63.21410608869851,4.146506811977176,7,89,17,9,27,132.0,4.454166183662941,0.38783707128336287,0.5962805757754607,0.08088235294117647,Jackson,0.136986301369863,Harrison,0.0263840830449827,0.05835991743291424,0.6402877697841727,0.050359712230215826,0.1223021582733813,0.06474820143884892,0.19424460431654678
MT,Montana,West,0,69,1083653.3,6.32845,7.445435120168194,2.0070289933661796,0,39,9,5,7,61.0,5.586194854228278,0.37589466089466084,0.5058513708513709,0.2463768115942029,Billings,0.3235294117647059,Yellowstone,0.09514807813484562,0.14359861591695502,0.5652173913043478,0.0,0.13043478260869565,0.07246376811594203,0.10144927536231885
NC,North Carolina,South,0,310,10496976.2,2.94198,215.9071989798017,5.374442882908353,13,213,64,41,26,267.0,2.533928102826258,0.4386043541086645,0.539591905337595,0.09385113268608414,Charlotte,0.1286549707602339,Mecklenburg,0.018422513379625267,0.0381997879689477,0.6870967741935484,0.041935483870967745,0.2064516129032258,0.13225806451612904,0.08387096774193549
ND,North Dakota,Midwest,0,27,770182.2,3.48154,11.161899102911551,2.412335715280248,4,14,6,4,5,28.0,3.6113182335235763,0.13428571428571429,0.5347619047619048,0.1111111111111111,Bismarck,0.2,Cass,0.0699588477366255,0.12000000000000002,0.5185185185185185,0.14814814814814814,0.2222222222222222,0.14814814814814814,0.18518518518518517
NE,Nebraska,Midwest,0,49,1946723.5,2.51886,25.340043475997085,3.2322175959363846,4,29,11,11,2,41.0,2.1064104661908694,0.17079365079365078,0.7000396825396825,0.4166666666666667,Omaha,0.5652173913043478,Douglas,0.21093750000000008,0.36105860113421545,0.5918367346938775,0.08163265306122448,0.22448979591836735,0.22448979591836735,0.04081632653061224
NH,New Hampshire,Northeast,0,33,1371397.4,2.39377,153.17741539148886,5.031429623161228,1,20,14,6,5,30.0,2.1776345833824173,0.0,0.9,0.18181818181818182,Manchester,0.3888888888888889,Hillsborough,0.06336088154269973,0.23456790123456794,0.6060606060606061,0.030303030303030304,0.42424242424242425,0.18181818181818182,0.15151515151515152
NJ,New Jersey,Northeast,0,108,9112957.2,1.19137,1239.1837367419091,7.121852762325122,3,45,22,15,17,106.0,1.1674876157019078,0.07226551226551227,0.8864213564213564,0.08333333333333333,Newark,0.12307692307692308,Essex,0.02657750342935528,0.082603550295858,0.4166666666666667,0.027777777777777776,0.2037037037037037,0.1388888888888889,0.1574074074074074
NM,New Mexico,West,1,219,2105700.3,10.39598,17.35972810763574,2.854131787977823,12,147,35,39,43,141.0,6.696942949264084,0.29073643080420575,0.6399288150042626,0.3532110091743119,Albuquerque,0.3793103448275862,Bernalillo,0.14447437084420497,0.174346016646849,0.6712328767123288,0.0547945205479452,0.1598173515981735,0.1780821917808219,0.1963470319634703
NV,Nevada,West,0,171,3076951.9,5.56412,28.02809138193312,3.33241068014753,6,102,37,57,14,77.0,2.500426144010472,0.165022581029446,0.8230475944091505,0.5029239766081871,Las Vegas,0.6276595744680851,Clark,0.27786327416983003,0.4631054775916703,0.5964912280701754,0.03508771929824561,0.21637426900584794,0.3333333333333333,0.08187134502923976
NY,New York,Northeast,0,199,19732017.2,1.00784,418.70766031490047,6.037122683882123,5,101,63,51,11,106.0,0.5367992502096965,0.08257688338493292,0.8863952528379773,0.24120603015075376,New York,0.17094017094017094,Kings,0.07199313148657861,0.07107896851486596,0.507537688442211,0.02512562814070352,0.3165829145728643,0.2562814070351759,0.05527638190954774
OH,Ohio,Midwest,0,305,11727092.6,2.5995,286.9996475857174,5.659458706650627,20,186,72,69,19,243.0,2.070595344953292,0.2489671267405936,0.7183863737430697,0.16721311475409836,Columbus,0.22727272727272727,Franklin,0.03926901370599301,0.08070764462809916,0.6098360655737705,0.06557377049180328,0.2360655737704918,0.2262295081967213,0.06229508196721312
OK,Oklahoma,South,0,266,3980815.7,6.6969899999999996,58.03361323711641,4.060911237303542,20,154,51,47,22,196.0,4.930270209269058,0.20196022527616458,0.7486961423213796,0.17803030303030304,Oklahoma City,0.20454545454545456,Oklahoma,0.06238521579430669,0.08907254361799817,0.5789473684210527,0.07518796992481203,0.19172932330827067,0.17669172932330826,0.08270676691729323
OR,Oregon,West,0,166,4190893.1,3.95615,43.66059403258741,3.7762645873385,7,92,44,13,33,141.0,3.360669140136035,0.338431780637663,0.6538759116700293,0.18787878787878787,Portland,0.18823529411764706,Multnomah,0.05557392102846649,0.09979238754325258,0.5542168674698795,0.04216867469879518,0.26506024096385544,0.0783132530120482,0.19879518072289157
PA,Pennsylvania,Northeast,0,227,12900976.6,1.75771,288.3350825827504,5.6640865503105235,14,140,52,20,26,151.0,1.1696518000979483,0.03467948717948718,0.9023763736263737,0.18584070796460178,Philadelphia,0.16666666666666666,Philadelphia,0.04381705693476389,0.06657483930211203,0.6167400881057269,0.06167400881057269,0.2290748898678414,0.0881057268722467,0.1145374449339207
RI,Rhode Island,Northeast,0,8,1078989.7,0.74228,1043.5103481624758,6.950136529683893,0,4,1,3,0,10.0,0.9279552008357712,0.0,0.5,0.25,Pawtucket,0.6666666666666666,Providence,0.1875,0.5,0.5,0.0,0.125,0.375,0.0
SC,South Carolina,South,0,171,5160045.3,3.3058,171.65248328398923,5.144877422623553,7,113,30,24,16,145.0,2.8090943532310435,0.7043557227796359,0.28504645113340765,0.07142857142857142,Greenville,0.18681318681318682,Greenville,0.02026643990929704,0.08924042989977057,0.6608187134502924,0.04093567251461988,0.17543859649122806,0.14035087719298245,0.0935672514619883
SD,South Dakota,Midwest,0,35,889132.5,3.9272599999999995,11.728278218200526,2.461685704061642,1,22,12,9,5,33.0,3.718038663958077,0.17833333333333332,0.5966666666666667,0.37142857142857144,Rapid City,0.5238095238095238,Pennington,0.19510204081632662,0.3061224489795918,0.6285714285714286,0.02857142857142857,0.34285714285714286,0.2571428571428571,0.14285714285714285
TN,Tennessee,South,0,293,6890885.2,4.23444,167.11253061719412,5.118209606977388,9,181,61,34,25,248.0,3.586424815602154,0.4271537525198695,0.53721567986625,0.10309278350515463,Memphis,0.15384615384615385,Shelby,0.025542919899387118,0.053156633576213995,0.6177474402730375,0.030716723549488054,0.20819112627986347,0.11604095563139932,0.08532423208191127
TX,Texas,South,0,1010,29227068.0,3.43776,111.88165308997365,4.716650068910417,63,645,168,161,8,643.0,2.191063721223607,0.2319867370719534,0.7323758438822868,0.12413108242303873,Houston,0.15311004784688995,Harris,0.0334411847948176,0.053928863044954714,0.6386138613861386,0.062376237623762376,0.16633663366336635,0.1594059405940594,0.007920792079207921
UT,Utah,West,0,133,3245426.7,4.06339,39.496491420226356,3.67486871010446,4,72,29,40,22,120.0,3.662483759588903,0.14145514399451672,0.8228540761970564,0.15267175572519084,Salt Lake City,0.4647887323943662,Salt Lake,0.04807412155468795,0.27038286054354294,0.5413533834586466,0.03007518796992481,0.21804511278195488,0.3007518796992481,0.16541353383458646
VA,Virginia,South,0,199,8580233.0,2.3136,217.2760952139782,5.381034010547625,11,121,43,34,24,171.0,1.9900114195957,0.34004822564477294,0.6096709573461492,0.06770833333333333,Virginia Beach,0.06504065040650407,Richmond City,0.021972656249999997,0.030867869654306296,0.6080402010050251,0.05527638190954774,0.21608040201005024,0.1708542713567839,0.12060301507537688
VT,Vermont,Northeast,0,15,635362.4,2.36881,68.93375284799826,4.232992631898358,2,6,6,4,2,18.0,2.8433234102073532,0.05,0.6,0.13333333333333333,Burlington,0.5714285714285714,Chittenden,0.09333333333333334,0.38775510204081637,0.4,0.13333333333333333,0.4,0.26666666666666666,0.13333333333333333
WA,Washington,West,0,277,7604512.1,3.63727,114.42927801853857,4.739470079342825,13,145,70,40,63,210.0,2.7601185816230394,0.35454241574376005,0.6294795573084514,0.10469314079422383,Spokane,0.22727272727272727,King,0.03355967105005929,0.1213269054178145,0.5234657039711191,0.04693140794223827,0.2527075812274368,0.1444043321299639,0.22743682310469315
WI,Wisconsin,Midwest,0,163,5852408.3,2.78461,108.06175080320543,4.682638502666396,6,101,38,48,2,164.0,2.7993011458743466,0.31200759144237405,0.6776749482401656,0.1656441717791411,Milwaukee,0.16091954022988506,Milwaukee,0.03857879483608716,0.05324349319593076,0.6196319018404908,0.03680981595092025,0.2331288343558282,0.294478527607362,0.012269938650306749
WV,West Virginia,South,0,100,1797554.7,5.56442,74.77971129045677,4.314455015997087,3,65,16,9,21,88.0,4.900000122653548,0.6002380952380952,0.3482467532467532,0.07291666666666667,Charleston,0.15384615384615385,Kanawha,0.019965277777777776,0.061390532544378706,0.65,0.03,0.16,0.09,0.21
WY,Wyoming,West,0,36,581558.0,6.17868,5.989700596335473,1.7900253304228841,2,23,6,1,4,38.0,6.51574092458051,0.2898989898989899,0.6648989898989899,0.2222222222222222,Casper,0.23809523809523808,Natrona,0.10802469135802471,0.13378684807256236,0.6388888888888888,0.05555555555555555,0.16666666666666666,0.027777777777777776,0.1111111111111111
