agency_id,agency_name,agency_type,agency_state_abbr,agency_state_fips,agency_state_name,ori_codes,ori_code_count,agency_total_shootings_original
769,Durham Police Department,local_police,NC,37,North Carolina,NC03201,1,5
2390,Dyer County Sheriff's Department,sheriff,TN,47,Tennessee,TN02300,1,2
2958,Dyer Police Department,local_police,IN,18,Indiana,IN04513,1,2
9687,Dyersburg Police Department,local_police,TN,47,Tennessee,TN02301,1,1
1421,Eagan Police Department,local_police,MN,27,Minnesota,MN01908,1,2
614,Eagar Police Department,local_police,AZ,04,Arizona,AZ00101,1,3
9694,Eagle County Sheriff's Office,sheriff,CO,08,Colorado,CO01900,1,1
926,Early County Sheriff's Office,sheriff,GA,13,Georgia,GA04900,1,1
3601,Easley Police Department,local_police,SC,45,South Carolina,SC03903,1,4
3350,East Alton Police Department,local_police,IL,17,Illinois,IL06004,1,1
818,East Baton Rouge Parish Sheriff's Office,sheriff,LA,22,Louisiana,LA01700,1,10
2618,East Cleveland Police Department,local_police,OH,39,Ohio,OH01817,1,3
2461,East Feliciana Parish Sheriff's Office,sheriff,LA,22,Louisiana,LA01900,1,4
9770,East Grand Forks Police Department,local_police,MN,27,Minnesota,MN06002,1,1
2569,East Hartford Police Department,local_police,CT,09,Connecticut,CT00043,1,1
3277,East Jefferson Levee Police Department,state_other,LA,22,Louisiana,,0,1
9804,East Moline Police Department,local_police,IL,17,Illinois,IL08104,1,1
9875,Easton Police Department,local_police,MA,25,Massachusetts,MA00306,1,1
3016,East Peoria Police Department,local_police,IL,17,Illinois,IL09003,1,1
2217,East Pittsburgh Police Department,local_police,PA,42,Pennsylvania,PA00264,1,1
1524,East Point Police Department,local_police,GA,13,Georgia,GA06002,1,1
1417,East Ridge Police Department,local_police,TN,47,Tennessee,TN03302,1,1
1438,East Wenatchee Police Department,local_police,WA,53,Washington,WA00902,1,1
352,Eaton County Sheriff's Department,sheriff,MI,26,Michigan,MI23123,1,5
1209,Eau Claire County Sheriff's Department,sheriff,WI,55,Wisconsin,WI01800,1,3
3126,Eau Claire Police Department,local_police,WI,55,Wisconsin,WI01801,1,4
852,Ector County Sheriff's Office,sheriff,TX,48,Texas,TX06800,1,6
759,Eddy County Sheriff's Office,sheriff,NM,35,New Mexico,NM00800,1,3
399,Edgecombe County Sheriff's Department,sheriff,NC,37,North Carolina,NC03300,1,2
2017,Edgewater Police Department,local_police,FL,12,Florida,FL06406,1,2
635,Edinburg Police Department,local_police,TX,48,Texas,TX10804,1,4
3414,Edison Township Police Department,local_police,NJ,34,New Jersey,NJ01205,1,1
520,Edmond Police Department,local_police,OK,40,Oklahoma,OK05503,1,3
3433,Edmonds Police Department,local_police,WA,53,Washington,WA03102,1,1
1872,Edon Police Department,local_police,OH,39,Ohio,OH08606,1,1
1956,Edwards Police Department,local_police,MS,28,Mississippi,MS02507,1,1
919,Effingham County Sheriff's Office,sheriff,GA,13,Georgia,GA05100,1,3
10028,Elbert County Sheriff's Office,sheriff,CO,08,Colorado,CO02000,1,1
1030,El Cajon Police Department,local_police,CA,06,California,CA03705,1,4
2667,El Centro Police Department,local_police,CA,06,California,CA01304,1,3
10006,El Dorado County Sheriff's Office,sheriff,CA,06,California,CA00900,1,1
2104,Elgin Police Department,local_police,IL,17,Illinois,IL04506,1,1
10065,Elizabeth City Police Department,local_police,NC,37,North Carolina,NC07001,1,1
10066,Elizabeth Police Department,local_police,NJ,34,New Jersey,NJ02004,1,1
1118,Elizabethton Police Department,local_police,TN,47,Tennessee,TN01001,1,3
1,Elizabethtown Police Department,local_police,KY,21,Kentucky,KY04701,1,4
1580,Elk City Police Department,local_police,OK,40,Oklahoma,OK00501,1,3
2163,Elk Grove Police Department,local_police,CA,06,California,CA0340H,1,2
10083,Elk Grove Village Police Department,local_police,IL,17,Illinois,IL01630,1,1
1551,Elkhart Police Department,local_police,IN,18,Indiana,IN02001,1,4
1638,Elkhorn Police Department,local_police,WI,55,Wisconsin,WI06502,1,1
1031,Elkins Police Department,local_police,WV,54,West Virginia,WV04201,1,1
2025,Elko County Sheriff's Department,sheriff,NV,32,Nevada,NV00400,1,1
