model_id,term,coef,std_err,z,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high
M4_density_agency_profile,gun_share_z,0.014434913203189565,0.01841269516397665,0.7839652519437034,0.43306049976289374,-0.021653306176519498,0.050523132582898624,1.0145395996696296,0.9785794436959557,1.0518211944145563
M4_density_agency_profile,mental_illness_share_z,-0.005942195791710651,0.01896863480552078,-0.3132642835203505,0.7540798830609918,-0.04312003684642431,0.031235645263003008,0.9940754241360741,0.9577964123055351,1.0317285972001389
M4_density_agency_profile,bodycam_share_z,-0.022041977213559428,0.01784840531864166,-1.234954990098629,0.2168472559516963,-0.057024208819570224,0.012940254392451372,0.9781991721138108,0.9445712021359264,1.0130243417969966
M4_density_agency_profile,alpha,0.011142226311464686,0.003546714472988843,3.141562817171197,0.0016804875546538728,0.004190793680959595,0.018093658941969775,1.0112045321084562,1.0041995873366387,1.0182583409227162
M5_state_concentration,Intercept,-12.85874633407186,0.03289868989547977,-390.85891793638365,0.0,-12.923226581405553,-12.794266086738167,2.6032592661925704e-06,2.4406977866556564e-06,2.7766480733788613e-06
M5_state_concentration,C(region)[T.Northeast],-0.36961708306866337,0.06318066711766977,-5.850161132048135,4.910970245174832e-09,-0.4934489151385102,-0.24578525099881654,0.690998875153666,0.610517137154317,0.7820901599735797
M5_state_concentration,C(region)[T.South],0.45715705806871293,0.043952167512508564,10.401240346988766,2.447266352392343e-25,0.3710123927017247,0.5433017234357012,1.5795769500737233,1.4492010327915001,1.7216820059796194
M5_state_concentration,C(region)[T.West],0.48053480465443443,0.04791814153303801,10.02824377742449,1.1453563099916496e-23,0.386616973043587,0.5744526362652819,1.6169389174578868,1.47199257044747,1.776158056283603
M5_state_concentration,is_nm,0.5021324050802375,0.10873780513514632,4.6178272998627765,3.877787613529001e-06,0.28901022325741615,0.7152545869030589,1.6522407634721594,1.3351053775846922,2.0447071716673495
M5_state_concentration,year_centered,0.019748011536143525,0.005338489422331455,3.69917592297468,0.00021630063862179173,0.009284764536525835,0.030211258535761214,1.0199442934460048,1.009328001674723,1.0306722492658278
M5_state_concentration,log_density_z,-0.3028602302653459,0.024371852044805555,-12.426639949584604,1.873446873839585e-35,-0.3506281825097037,-0.25509227802098816,0.7387023373850146,0.7042455559964802,0.7748449934994138
M5_state_concentration,top_city_share_z,0.03544806456177178,0.040445086353675865,0.8764492243085562,0.38078586829652206,-0.04382284804304533,0.1147189771665889,1.036083837262602,0.9571234987561702,1.1215582098149566
M5_state_concentration,top_county_share_z,0.012039674292118928,0.03799529015782783,0.3168728082377469,0.7513401154929229,-0.0624297259993728,0.08650907458361065,1.012112442914248,0.9394790814473107,1.090361262247325
M5_state_concentration,alpha,0.04921282615076196,0.007162674011909819,6.870733760734157,6.387250415877982e-12,0.0351742430544177,0.06325140924710622,1.0504438888812653,1.0358001740628524,1.065294630488293
